borough,year_and_month,month,year,season,pandemic_period,recovery_success
lambeth,2010-01-01,january,2010,winter,pre-pandemic,0
islington,2010-01-01,january,2010,winter,pre-pandemic,0
croydon,2010-01-01,january,2010,winter,pre-pandemic,0
croydon,2010-01-01,january,2010,winter,pre-pandemic,0
barking and dagenham,2010-01-01,january,2010,winter,pre-pandemic,0
sutton,2010-01-01,january,2010,winter,pre-pandemic,0
haringey,2010-01-01,january,2010,winter,pre-pandemic,0
sutton,2010-01-01,january,2010,winter,pre-pandemic,0
newham,2010-01-01,january,2010,winter,pre-pandemic,0
harrow,2010-01-01,january,2010,winter,pre-pandemic,0
enfield,2010-01-01,january,2010,winter,pre-pandemic,0
islington,2010-01-01,january,2010,winter,pre-pandemic,0
lewisham,2010-01-01,january,2010,winter,pre-pandemic,0
sutton,2010-01-01,january,2010,winter,pre-pandemic,0
bexley,2010-01-01,january,2010,winter,pre-pandemic,0
wandsworth,2010-01-01,january,2010,winter,pre-pandemic,0
hackney,2010-01-01,january,2010,winter,pre-pandemic,0
southwark,2010-01-01,january,2010,winter,pre-pandemic,1
redbridge,2010-01-01,january,2010,winter,pre-pandemic,0
bexley,2010-01-01,january,2010,winter,pre-pandemic,0
bexley,2010-01-01,january,2010,winter,pre-pandemic,0
bexley,2010-01-01,january,2010,winter,pre-pandemic,0
lewisham,2010-01-01,january,2010,winter,pre-pandemic,1
greenwich,2010-01-01,january,2010,winter,pre-pandemic,0
tower hamlets,2010-01-01,january,2010,winter,pre-pandemic,0
barking and dagenham,2010-01-01,january,2010,winter,pre-pandemic,0
hillingdon,2010-01-01,january,2010,winter,pre-pandemic,0
brent,2010-01-01,january,2010,winter,pre-pandemic,0
lambeth,2010-02-01,february,2010,winter,pre-pandemic,0
croydon,2010-02-01,february,2010,winter,pre-pandemic,0
islington,2010-02-01,february,2010,winter,pre-pandemic,0
hackney,2010-02-01,february,2010,winter,pre-pandemic,0
barnet,2010-02-01,february,2010,winter,pre-pandemic,1
westminster,2010-02-01,february,2010,winter,pre-pandemic,0
southwark,2010-02-01,february,2010,winter,pre-pandemic,1
croydon,2010-02-01,february,2010,winter,pre-pandemic,1
greenwich,2010-02-01,february,2010,winter,pre-pandemic,0
greenwich,2010-02-01,february,2010,winter,pre-pandemic,1
hackney,2010-02-01,february,2010,winter,pre-pandemic,0
enfield,2010-02-01,february,2010,winter,pre-pandemic,0
haringey,2010-02-01,february,2010,winter,pre-pandemic,1
harrow,2010-02-01,february,2010,winter,pre-pandemic,1
