borough,animal_recovered,year_and_month
lambeth,not recovered,jan-2010
islington,not recovered,jan-2010
croydon,not recovered,jan-2010
croydon,not recovered,jan-2010
barking and dagenham,not recovered,jan-2010
sutton,not recovered,jan-2010
haringey,not recovered,jan-2010
sutton,not recovered,jan-2010
newham,not recovered,jan-2010
harrow,not recovered,jan-2010
enfield,not recovered,jan-2010
islington,not recovered,jan-2010
lewisham,not recovered,jan-2010
sutton,not recovered,jan-2010
bexley,not recovered,jan-2010
wandsworth,not recovered,jan-2010
hackney,not recovered,jan-2010
southwark,recovered,jan-2010
redbridge,not recovered,jan-2010
bexley,not recovered,jan-2010
bexley,not recovered,jan-2010
bexley,not recovered,jan-2010
lewisham,recovered,jan-2010
greenwich,not recovered,jan-2010
tower hamlets,not recovered,jan-2010
barking and dagenham,not recovered,jan-2010
hillingdon,not recovered,jan-2010
brent,not recovered,jan-2010
lambeth,not recovered,feb-2010
croydon,not recovered,feb-2010
islington,not recovered,feb-2010
hackney,not recovered,feb-2010
barnet,recovered,feb-2010
westminster,not recovered,feb-2010
southwark,recovered,feb-2010
croydon,recovered,feb-2010
greenwich,not recovered,feb-2010
greenwich,recovered,feb-2010
hackney,not recovered,feb-2010
enfield,not recovered,feb-2010
haringey,recovered,feb-2010
harrow,recovered,feb-2010
lambeth,not recovered,feb-2010
haringey,recovered,feb-2010
greenwich,not recovered,feb-2010
brent,not recovered,mar-2010
camden,not recovered,mar-2010
haringey,not recovered,mar-2010
enfield,not recovered,mar-2010
hillingdon,recovered,mar-2010
croydon,not recovered,mar-2010
westminster,recovered,mar-2010
croydon,not recovered,mar-2010
barnet,not recovered,mar-2010
barnet,not recovered,mar-2010
kingston upon thames,not recovered,mar-2010
merton,not recovered,mar-2010
merton,not recovered,mar-2010
camden,not recovered,mar-2010
waltham forest,not recovered,mar-2010
barking and dagenham,recovered,mar-2010
barnet,recovered,mar-2010
southwark,not recovered,mar-2010
redbridge,not recovered,mar-2010
hillingdon,not recovered,mar-2010
sutton,not recovered,mar-2010
enfield,not recovered,mar-2010
hounslow,not recovered,mar-2010
bexley,not recovered,mar-2010
greenwich,not recovered,mar-2010
hillingdon,not recovered,mar-2010
hackney,not recovered,mar-2010
westminster,recovered,mar-2010
bromley,not recovered,mar-2010
islington,not recovered,mar-2010
barnet,not recovered,mar-2010
barnet,not recovered,mar-2010
wandsworth,not recovered,apr-2010
islington,recovered,apr-2010
havering,recovered,apr-2010
lambeth,recovered,apr-2010
waltham forest,not recovered,apr-2010
kingston upon thames,not recovered,apr-2010
haringey,not recovered,apr-2010
islington,not recovered,apr-2010
hackney,not recovered,apr-2010
hackney,not recovered,apr-2010
newham,not recovered,apr-2010
newham,not recovered,apr-2010
newham,not recovered,apr-2010
southwark,not recovered,apr-2010
lambeth,not recovered,apr-2010
camden,recovered,apr-2010
lewisham,not recovered,apr-2010
redbridge,not recovered,apr-2010
newham,not recovered,apr-2010
lambeth,not recovered,apr-2010
harrow,recovered,apr-2010
waltham forest,not recovered,apr-2010
havering,not recovered,apr-2010
havering,not recovered,apr-2010
bromley,not recovered,apr-2010
barking and dagenham,not recovered,apr-2010
havering,not recovered,apr-2010
hackney,not recovered,apr-2010
waltham forest,not recovered,apr-2010
camden,not recovered,apr-2010
ealing,not recovered,apr-2010
croydon,not recovered,apr-2010
bromley,not recovered,apr-2010
croydon,not recovered,apr-2010
hillingdon,not recovered,apr-2010
lewisham,not recovered,apr-2010
ealing,not recovered,apr-2010
islington,not recovered,apr-2010
lewisham,not recovered,apr-2010
sutton,not recovered,apr-2010
hounslow,recovered,apr-2010
croydon,not recovered,apr-2010
croydon,not recovered,apr-2010
croydon,not recovered,apr-2010
hounslow,not recovered,apr-2010
lambeth,recovered,apr-2010
haringey,not recovered,may-2010
westminster,not recovered,may-2010
waltham forest,not recovered,may-2010
newham,not recovered,may-2010
ealing,not recovered,may-2010
waltham forest,not recovered,may-2010
camden,not recovered,may-2010
hackney,not recovered,may-2010
newham,not recovered,may-2010
newham,not recovered,may-2010
haringey,not recovered,may-2010
redbridge,recovered,may-2010
camden,not recovered,may-2010
croydon,recovered,may-2010
bexley,not recovered,may-2010
barking and dagenham,not recovered,may-2010
barking and dagenham,not recovered,may-2010
barking and dagenham,not recovered,may-2010
brent,not recovered,may-2010
croydon,not recovered,may-2010
camden,not recovered,may-2010
greenwich,not recovered,may-2010
enfield,not recovered,may-2010
islington,not recovered,may-2010
enfield,not recovered,may-2010
croydon,not recovered,may-2010
redbridge,not recovered,may-2010
camden,not recovered,may-2010
barnet,not recovered,may-2010
lambeth,not recovered,may-2010
lambeth,not recovered,may-2010
greenwich,not recovered,may-2010
ealing,not recovered,may-2010
wandsworth,not recovered,may-2010
harrow,recovered,may-2010
haringey,not recovered,may-2010
hackney,not recovered,may-2010
newham,not recovered,may-2010
barking and dagenham,not recovered,may-2010
newham,not recovered,jun-2010
islington,not recovered,jun-2010
bexley,not recovered,jun-2010
newham,not recovered,jun-2010
lewisham,not recovered,jun-2010
bromley,not recovered,jun-2010
bromley,not recovered,jun-2010
croydon,not recovered,jun-2010
hackney,not recovered,jun-2010
southwark,not recovered,jun-2010
sutton,not recovered,jun-2010
harrow,not recovered,jun-2010
haringey,recovered,jun-2010
lewisham,not recovered,jun-2010
newham,not recovered,jun-2010
harrow,not recovered,jun-2010
lambeth,not recovered,jun-2010
lewisham,not recovered,jun-2010
hackney,not recovered,jun-2010
ealing,not recovered,jun-2010
croydon,not recovered,jun-2010
hounslow,not recovered,jun-2010
harrow,not recovered,jun-2010
havering,not recovered,jun-2010
westminster,not recovered,jun-2010
barking and dagenham,not recovered,jun-2010
haringey,not recovered,jun-2010
lewisham,not recovered,jun-2010
waltham forest,not recovered,jun-2010
hackney,not recovered,jul-2010
hammersmith and fulham,not recovered,jul-2010
ealing,not recovered,jul-2010
richmond upon thames,not recovered,jul-2010
havering,not recovered,jul-2010
ealing,not recovered,jul-2010
southwark,not recovered,jul-2010
southwark,not recovered,jul-2010
lewisham,not recovered,jul-2010
brent,not recovered,jul-2010
lambeth,not recovered,jul-2010
waltham forest,not recovered,jul-2010
enfield,not recovered,jul-2010
barnet,not recovered,jul-2010
barnet,not recovered,jul-2010
barking and dagenham,not recovered,jul-2010
barking and dagenham,not recovered,jul-2010
lambeth,not recovered,jul-2010
redbridge,not recovered,jul-2010
bromley,not recovered,jul-2010
brent,not recovered,jul-2010
barnet,not recovered,jul-2010
barking and dagenham,not recovered,jul-2010
ealing,not recovered,jul-2010
croydon,not recovered,jul-2010
lambeth,not recovered,jul-2010
newham,not recovered,jul-2010
newham,not recovered,jul-2010
barnet,not recovered,aug-2010
brent,not recovered,aug-2010
havering,not recovered,aug-2010
sutton,not recovered,aug-2010
hackney,not recovered,aug-2010
haringey,not recovered,aug-2010
lewisham,not recovered,aug-2010
waltham forest,recovered,aug-2010
havering,recovered,aug-2010
camden,not recovered,aug-2010
lewisham,not recovered,aug-2010
westminster,not recovered,aug-2010
ealing,not recovered,aug-2010
newham,recovered,aug-2010
lewisham,not recovered,aug-2010
newham,not recovered,aug-2010
hackney,not recovered,aug-2010
southwark,recovered,aug-2010
lewisham,not recovered,aug-2010
bromley,not recovered,aug-2010
westminster,not recovered,aug-2010
lambeth,not recovered,aug-2010
harrow,not recovered,aug-2010
southwark,not recovered,aug-2010
tower hamlets,not recovered,aug-2010
barnet,not recovered,aug-2010
croydon,not recovered,aug-2010
waltham forest,not recovered,aug-2010
enfield,not recovered,aug-2010
richmond upon thames,not recovered,aug-2010
barking and dagenham,not recovered,aug-2010
enfield,not recovered,aug-2010
brent,not recovered,sep-2010
lambeth,not recovered,sep-2010
southwark,not recovered,sep-2010
waltham forest,not recovered,sep-2010
enfield,not recovered,sep-2010
kingston upon thames,not recovered,sep-2010
lambeth,recovered,sep-2010
enfield,not recovered,sep-2010
greenwich,not recovered,sep-2010
waltham forest,not recovered,sep-2010
islington,not recovered,sep-2010
bexley,not recovered,sep-2010
enfield,not recovered,sep-2010
enfield,not recovered,sep-2010
ealing,not recovered,sep-2010
lambeth,not recovered,sep-2010
islington,recovered,sep-2010
barking and dagenham,not recovered,sep-2010
enfield,not recovered,sep-2010
southwark,not recovered,sep-2010
harrow,recovered,sep-2010
harrow,recovered,sep-2010
haringey,recovered,sep-2010
barking and dagenham,recovered,sep-2010
barking and dagenham,not recovered,sep-2010
westminster,not recovered,sep-2010
greenwich,not recovered,sep-2010
hackney,not recovered,sep-2010
hillingdon,not recovered,sep-2010
tower hamlets,not recovered,sep-2010
enfield,not recovered,sep-2010
barnet,not recovered,sep-2010
haringey,recovered,sep-2010
haringey,not recovered,sep-2010
greenwich,not recovered,sep-2010
hounslow,not recovered,sep-2010
harrow,not recovered,sep-2010
hackney,not recovered,sep-2010
ealing,not recovered,sep-2010
lewisham,not recovered,sep-2010
croydon,not recovered,sep-2010
enfield,not recovered,oct-2010
redbridge,not recovered,oct-2010
southwark,not recovered,oct-2010
lewisham,recovered,oct-2010
bexley,not recovered,oct-2010
enfield,not recovered,oct-2010
enfield,not recovered,oct-2010
lewisham,not recovered,oct-2010
lewisham,recovered,oct-2010
croydon,recovered,oct-2010
havering,recovered,oct-2010
havering,recovered,oct-2010
southwark,not recovered,oct-2010
tower hamlets,not recovered,oct-2010
southwark,not recovered,oct-2010
newham,not recovered,oct-2010
greenwich,not recovered,oct-2010
greenwich,not recovered,oct-2010
barking and dagenham,not recovered,oct-2010
enfield,not recovered,oct-2010
haringey,not recovered,oct-2010
lambeth,not recovered,oct-2010
southwark,not recovered,nov-2010
islington,recovered,nov-2010
bromley,not recovered,nov-2010
bromley,not recovered,nov-2010
barnet,not recovered,nov-2010
croydon,recovered,nov-2010
bexley,not recovered,nov-2010
barking and dagenham,not recovered,nov-2010
bromley,not recovered,nov-2010
lambeth,not recovered,nov-2010
islington,not recovered,nov-2010
southwark,not recovered,nov-2010
tower hamlets,not recovered,nov-2010
lewisham,recovered,nov-2010
kingston upon thames,not recovered,nov-2010
kingston upon thames,not recovered,nov-2010
waltham forest,not recovered,nov-2010
hillingdon,not recovered,nov-2010
barnet,not recovered,nov-2010
islington,not recovered,nov-2010
enfield,not recovered,nov-2010
greenwich,not recovered,nov-2010
greenwich,not recovered,dec-2010
waltham forest,not recovered,dec-2010
brent,not recovered,dec-2010
southwark,not recovered,dec-2010
lewisham,not recovered,dec-2010
croydon,not recovered,dec-2010
hillingdon,not recovered,dec-2010
lewisham,not recovered,dec-2010
waltham forest,not recovered,dec-2010
sutton,not recovered,dec-2010
ealing,not recovered,dec-2010
croydon,recovered,dec-2010
hammersmith and fulham,not recovered,dec-2010
croydon,not recovered,dec-2010
hackney,not recovered,dec-2010
westminster,not recovered,dec-2010
barking and dagenham,not recovered,dec-2010
greenwich,not recovered,dec-2010
islington,not recovered,dec-2010
waltham forest,not recovered,dec-2010
camden,not recovered,jan-2011
wandsworth,recovered,jan-2011
lewisham,not recovered,jan-2011
croydon,not recovered,jan-2011
newham,not recovered,jan-2011
lewisham,not recovered,jan-2011
sutton,not recovered,jan-2011
bromley,not recovered,jan-2011
camden,not recovered,jan-2011
waltham forest,not recovered,jan-2011
barking and dagenham,not recovered,jan-2011
wandsworth,not recovered,jan-2011
croydon,not recovered,jan-2011
croydon,not recovered,jan-2011
westminster,not recovered,jan-2011
southwark,not recovered,jan-2011
southwark,not recovered,jan-2011
lambeth,not recovered,jan-2011
waltham forest,not recovered,feb-2011
hackney,not recovered,feb-2011
bromley,not recovered,feb-2011
barnet,not recovered,feb-2011
hammersmith and fulham,not recovered,feb-2011
ealing,not recovered,feb-2011
greenwich,not recovered,feb-2011
bexley,recovered,feb-2011
greenwich,not recovered,feb-2011
greenwich,not recovered,feb-2011
croydon,not recovered,feb-2011
croydon,not recovered,feb-2011
tower hamlets,not recovered,mar-2011
haringey,not recovered,mar-2011
lambeth,not recovered,mar-2011
ealing,not recovered,mar-2011
haringey,recovered,mar-2011
hounslow,not recovered,mar-2011
hillingdon,not recovered,mar-2011
greenwich,not recovered,mar-2011
lambeth,not recovered,mar-2011
tower hamlets,not recovered,mar-2011
haringey,not recovered,mar-2011
