Count of Stolen Animals,Type of Animal,Borough,Type Of Offence,Animal Recovered,Year and Month
1,Dog,Lambeth,Theft and Handling,Not Recovered,Jan-2010
1,Dog,Islington,Violence Against the Person,Not Recovered,Jan-2010
1,Dog,Croydon,Robbery,Not Recovered,Jan-2010
1,Dog,Croydon,Robbery,Not Recovered,Jan-2010
1,Dog,Barking and Dagenham,Theft and Handling,Not Recovered,Jan-2010
1,Dog,Sutton,Robbery,Not Recovered,Jan-2010
1,Dog,Haringey,Theft and Handling,Not Recovered,Jan-2010
1,Dog,Sutton,Robbery,Not Recovered,Jan-2010
1,Dog,Newham,Theft and Handling,Not Recovered,Jan-2010
1,Dog,Harrow,Theft and Handling,Not Recovered,Jan-2010
1,Dog,Enfield,Theft and Handling,Not Recovered,Jan-2010
1,Mammal (exc Cat and Dog),Kingston upon Thames,Theft and Handling,Not Recovered,Jan-2010
1,Dog,Islington,Theft and Handling,Not Recovered,Jan-2010
1,Dog,Lewisham,Theft and Handling,Not Recovered,Jan-2010
4,Bird,Bromley,Burglary,Not Recovered,Jan-2010
1,Dog,Sutton,Burglary,Not Recovered,Jan-2010
1,Dog,Bexley,Theft and Handling,Not Recovered,Jan-2010
1,Dog,Wandsworth,Robbery,Not Recovered,Jan-2010
1,Dog,Hackney,Burglary,Not Recovered,Jan-2010
1,Dog,Southwark,Theft and Handling,Recovered,Jan-2010
1,Dog,Redbridge,Robbery,Not Recovered,Jan-2010
1,Mammal (exc Cat and Dog),Hackney,Theft and Handling,Not Recovered,Jan-2010
1,Dog,Bexley,Burglary,Not Recovered,Jan-2010
1,Dog,Bexley,Burglary,Not Recovered,Jan-2010
1,Dog,Bexley,Burglary,Not Recovered,Jan-2010
1,Dog,Lewisham,Violence Against the Person,Recovered,Jan-2010
1,Dog,Greenwich,Burglary,Not Recovered,Jan-2010
1,Dog,Tower Hamlets,Theft and Handling,Not Recovered,Jan-2010
1,Cat,Hammersmith and Fulham,Burglary,Recovered,Jan-2010
51,Bird,Sutton,Burglary,Not Recovered,Jan-2010
55,Fish,Barking and Dagenham,Burglary,Not Recovered,Jan-2010
1,Dog,Barking and Dagenham,Theft and Handling,Not Recovered,Jan-2010
1,Dog,Hillingdon,Burglary,Not Recovered,Jan-2010
1,Dog,Brent,Robbery,Not Recovered,Jan-2010
1,Bird,Hounslow,Theft and Handling,Not Recovered,Feb-2010
1,Dog,Lambeth,Theft and Handling,Not Recovered,Feb-2010
1,Dog,Croydon,Burglary,Not Recovered,Feb-2010
1,Dog,Islington,Theft and Handling,Not Recovered,Feb-2010
1,Bird,Hounslow,Burglary,Not Recovered,Feb-2010
1,Dog,Hackney,Burglary,Not Recovered,Feb-2010
1,Dog,Barnet,Violence Against the Person,Recovered,Feb-2010
1,Dog,Westminster,Burglary,Not Recovered,Feb-2010
1,Dog,Southwark,Theft and Handling,Recovered,Feb-2010
1,Dog,Croydon,Theft and Handling,Recovered,Feb-2010
1,Cat,Hackney,Burglary,Not Recovered,Feb-2010
1,Bird,Havering,Burglary,Not Recovered,Feb-2010
1,Dog,Greenwich,Robbery,Not Recovered,Feb-2010
1,Dog,Greenwich,Theft and Handling,Recovered,Feb-2010
1,Dog,Hackney,Theft and Handling,Not Recovered,Feb-2010
1,Cat,Hounslow,Theft and Handling,Not Recovered,Feb-2010
1,Mammal (exc Cat and Dog),Hounslow,Theft and Handling,Not Recovered,Feb-2010
1,Mammal (exc Cat and Dog),Croydon,Theft and Handling,Recovered,Feb-2010
1,Dog,Enfield,Theft and Handling,Not Recovered,Feb-2010
2,Mammal (exc Cat and Dog),Hounslow,Theft and Handling,Not Recovered,Feb-2010
1,Dog,Haringey,Theft and Handling,Recovered,Feb-2010
1,Dog,Harrow,Theft and Handling,Recovered,Feb-2010
